iEE1	iEE2	iEE3	iEE4	iEE5	iEE6	iEE7	iEE8	iEE9	iEE10	iWPO1	iWPO2	iWPO3	iWPO4	iWPO5	iWPO6	iWPO7	iWPO8	iWPO9	iWPO10	iJP1	iJP2	iJP3	iJP4	iJP5	iJP6	iJP7	iJP8	iJP9
4	2	2	2	2	3	4	5	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3
4	1	2	1	2	2	4	4	1	4	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	2	2	3	3
5	4	4	4	4	3	5	5	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	4	2	3	2	2	2
4	1	1	1	1	2	4	4	1	5	4	4	4	4	4	4	4	4	4	5	2	2	2	5	2	2	2	2	2
4	3	2	3	2	3	4	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	2	3	2	2	3	4	3	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3
4	2	2	2	2	1	4	4	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	1	5	3	3
4	3	3	3	2	3	4	4	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3
3	4	3	4	2	4	3	4	4	3	2	2	2	2	2	2	2	2	2	3	4	4	4	4	4	4	3	4	4
3	2	4	2	3	3	3	2	2	5	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	3	4	2	2
2	4	4	4	4	4	2	2	4	5	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4
2	3	4	3	3	4	2	2	3	4	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	4	4	3	3
4	3	3	3	3	3	4	3	3	5	2	2	2	2	2	2	2	2	2	3	4	4	4	3	4	3	4	4	4
4	4	2	4	2	2	4	5	4	4	3	3	3	3	3	3	3	3	3	4	3	3	3	5	3	2	3	3	3
2	3	4	3	2	4	2	3	3	4	4	4	4	4	4	4	4	4	4	5	2	2	2	3	2	1	4	2	2
2	4	4	4	4	4	2	2	4	4	2	2	2	2	2	2	2	2	2	1	4	4	4	4	4	4	5	4	4
3	3	4	3	4	3	3	4	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3
2	2	3	2	3	3	2	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3
4	3	3	3	4	2	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3
2	4	5	4	4	5	2	2	4	5	1	1	1	1	1	1	1	1	1	2	5	5	5	4	5	1	4	5	5
5	3	4	3	2	4	5	4	3	4	4	4	4	4	4	4	4	4	4	4	2	2	2	3	2	1	4	2	2
4	4	2	4	4	4	4	5	4	5	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	1	2	3	3
4	4	3	4	3	4	4	3	4	5	2	2	2	2	2	2	2	2	2	3	4	4	4	4	4	4	3	4	4
4	2	2	2	2	3	4	4	2	4	2	2	2	2	2	2	2	2	2	2	4	4	4	2	4	4	2	4	4
3	3	4	3	3	3	3	2	3	5	2	2	2	2	2	2	2	2	2	2	4	4	4	3	4	4	3	4	4
3	3	4	3	4	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3
2	5	4	3	4	5	2	3	3	4	2	2	2	2	2	2	2	2	2	1	4	4	4	3	4	4	5	4	4
3	3	4	3	3	4	3	3	3	5	2	2	2	2	2	2	2	2	2	3	4	4	4	3	4	4	3	4	4
2	3	4	3	3	3	2	2	3	4	2	2	2	2	2	2	2	2	2	3	4	4	4	3	4	4	4	4	4
4	3	4	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	4	3	3
3	3	4	3	4	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	4	3	3
3	3	3	3	3	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
2	3	4	3	4	4	2	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
2	4	4	4	4	4	2	2	4	5	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4
3	3	2	3	3	3	3	4	3	4	1	1	1	1	1	1	1	1	1	1	5	5	5	3	5	5	4	5	5
2	5	5	5	4	4	2	3	5	5	1	1	1	1	1	1	1	1	1	2	5	5	5	5	5	5	5	5	5
3	3	3	4	4	4	3	3	4	4	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	3	4	4
4	4	2	3	4	2	4	3	3	4	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3
2	2	2	4	4	4	2	4	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
2	2	4	4	4	2	2	5	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
2	4	2	4	2	2	2	3	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
2	4	2	2	2	4	2	4	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5
2	2	2	4	2	2	2	5	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
2	4	2	2	2	2	2	4	2	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
2	2	4	4	4	4	2	5	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
2	4	2	4	2	4	2	4	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
2	2	2	2	4	4	2	4	2	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
4	2	2	4	4	2	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5
4	1	1	1	1	2	4	5	1	5	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
5	2	2	4	2	2	5	5	4	4	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
5	1	1	2	1	2	5	5	2	3	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
5	1	1	1	1	2	5	5	1	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
4	1	2	2	1	1	4	4	2	5	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	5	2	2
4	2	2	2	2	3	4	5	2	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5	2	2	2	1	1	5	5	2	5	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
4	1	1	1	1	1	4	4	1	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
4	2	2	2	2	2	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5	2	2	2	2	1	5	5	2	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
5	2	1	1	1	2	5	5	1	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	5	2	2
4	2	1	2	1	1	4	4	2	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
5	2	1	2	2	2	5	5	2	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	2	5	4	4	5	4	2	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
2	2	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2
4	5	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	2	4	4	4	4	2	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	4	1	3	3	4	4	4	3	4	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2
2	2	4	4	4	4	2	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	4	4	4	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5	4	5	3	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3
4	4	5	3	3	4	4	5	4	3	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
4	3	2	2	3	3	3	3	5	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	5	5	5	5	5	5	4	5	5	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2
5	4	5	5	5	4	4	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
5	5	4	4	4	5	5	5	4	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
5	5	3	4	5	4	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	3	2	3	4	4	3	2	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	4	5	3	5	5	4	3	4	3	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
4	4	3	3	4	5	4	5	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	5	3	4	4	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
5	5	4	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	4	4	3	4	5	4	5	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3
4	5	5	5	3	4	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
5	3	4	5	5	4	3	4	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
5	5	5	4	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	5	4	4	4	3	5	4	5	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
4	5	4	4	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
3	5	5	4	3	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	3	5	3	3	4	3	4	5	3	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
3	5	4	5	5	5	5	4	5	5	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2
4	3	3	3	4	5	3	3	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
3	3	4	3	2	4	3	2	4	3	2	2	2	2	2	2	2	2	2	3	4	4	4	4	4	4	4	4	4
4	5	4	5	5	4	5	4	5	5	4	4	4	4	4	4	4	4	4	5	2	2	2	2	2	2	2	2	2
3	3	2	2	2	2	3	2	5	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4
5	5	5	5	4	5	5	4	5	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
5	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	4	5	5	4	5	4	4	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
2	2	3	3	2	3	2	3	5	3	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4
5	4	5	5	4	5	4	5	3	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	3	4	4	5	4	3	4	5	4	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5
4	5	4	3	4	4	5	4	5	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3
4	4	5	5	4	5	4	3	4	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5
3	4	4	3	5	4	4	3	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	5	4	3	3	4	5	4	5	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3
4	3	5	3	4	5	3	4	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
4	4	3	5	4	3	4	3	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5
4	3	3	3	3	3	3	2	5	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
4	5	4	4	3	4	5	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	5	4	4	4	4	5	5	4	4	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5
5	5	5	5	4	5	5	5	5	5	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
4	3	4	3	4	4	3	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
5	3	2	4	3	2	3	3	4	4	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4
5	3	5	3	4	5	3	4	5	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
4	5	5	3	4	5	5	4	4	3	3	3	3	3	3	3	3	3	3	5	3	4	3	3	3	3	5	3	3
5	5	3	5	4	3	5	4	4	5	2	2	2	2	2	2	2	2	2	3	4	3	4	4	4	4	3	4	4
4	4	5	5	5	5	4	3	5	5	3	3	3	3	3	3	3	3	3	5	3	5	3	3	3	3	5	3	3
5	4	5	3	3	5	4	3	4	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5
4	3	5	5	5	5	3	3	5	5	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2
5	4	4	5	5	4	4	4	4	5	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	1	2	2
2	3	3	3	2	3	3	3	5	3	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4
4	5	4	4	3	4	5	5	5	4	5	5	5	5	5	5	5	5	5	2	1	1	1	1	1	1	1	1	1
3	2	3	3	4	3	2	2	5	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	3
4	3	5	3	5	5	3	3	4	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2
5	5	4	4	3	4	5	4	4	4	5	5	5	5	5	5	5	5	5	3	1	3	1	1	1	1	1	1	1
3	5	5	4	3	5	5	5	5	4	5	5	5	5	5	5	5	5	5	3	1	2	1	1	1	1	1	1	1
5	3	4	3	5	4	3	5	5	3	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	1	2	2
4	4	3	3	5	3	4	4	5	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	2	2
2	1	1	1	2	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1
3	2	3	2	2	3	2	3	1	2	3	3	3	3	3	3	3	3	3	2	3	1	3	3	3	3	2	3	3
1	3	3	3	1	3	3	1	2	3	5	5	5	5	5	5	5	5	5	3	1	2	1	1	1	1	3	1	1
1	1	1	2	1	1	1	1	2	2	5	5	5	5	5	5	5	5	5	2	1	1	1	1	1	1	1	1	1
1	3	1	3	2	1	3	3	2	3	3	3	3	3	3	3	3	3	3	5	3	2	3	3	3	3	3	3	3
1	1	2	1	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
2	2	1	1	1	1	2	1	3	1	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	2	1	1
4	2	4	2	3	4	2	3	2	2	3	3	3	3	3	3	3	3	3	5	3	1	3	3	3	3	2	3	3
2	2	3	4	4	3	2	4	2	4	5	5	5	5	5	5	5	5	5	3	1	1	1	1	1	1	2	1	1
4	3	2	3	2	2	3	2	4	3	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	3	2	2
3	4	4	2	3	4	4	3	3	2	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	1	3	3
4	3	5	5	5	5	3	5	4	5	2	2	2	2	2	2	2	2	2	5	2	1	2	2	2	2	3	2	2
4	5	4	3	3	4	5	5	3	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
4	3	5	5	3	5	3	4	5	5	5	5	5	5	5	5	5	5	5	3	1	1	1	1	1	1	3	1	1
4	5	5	5	4	5	5	5	5	5	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2	2
5	4	4	3	4	4	4	5	4	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2
5	5	5	5	5	5	5	5	4	5	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
5	4	5	4	5	5	4	5	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
5	4	5	5	4	5	4	4	4	5	5	5	5	5	5	5	5	5	5	2	1	1	1	1	1	1	1	1	1
5	4	5	5	3	5	4	5	3	5	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2
4	4	4	4	5	4	4	4	5	4	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1
4	4	5	4	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	4	1	2	1	1	1	1	1	1	1
5	5	4	5	3	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	2	1	1
3	3	5	4	4	5	3	5	5	4	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	3	2	2
4	5	5	5	3	5	5	5	3	5	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2
5	4	5	4	4	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	1	1	1
4	5	3	5	4	3	5	5	5	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2
5	5	3	5	4	3	5	5	5	5	4	4	4	4	4	4	4	4	4	4	2	1	2	2	2	2	2	2	2
2	4	4	4	2	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1
4	4	4	4	3	4	4	2	3	4	4	4	4	4	4	4	4	4	4	5	2	1	2	2	2	2	1	2	2
3	4	3	3	4	3	4	4	3	3	2	2	2	2	2	2	2	2	2	3	4	3	4	4	4	4	4	4	4
3	1	3	2	3	3	1	1	3	2	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	1	1	1
2	3	1	1	1	2	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	3	1	1	1	1	1	1	1
1	3	1	2	1	3	1	1	2	2	5	5	5	5	5	5	5	5	5	5	1	3	1	1	1	1	1	1	1
1	2	1	1	1	2	1	1	1	1	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	1	1	1
1	2	2	1	1	1	2	1	1	1	5	5	5	5	5	5	5	5	5	4	1	2	1	1	1	1	2	1	1
3	2	3	1	2	2	3	2	3	1	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	3	2	2
1	3	1	2	3	1	1	1	2	2	5	5	5	5	5	5	5	5	5	3	1	3	1	1	1	1	1	1	1
2	3	2	1	3	1	2	1	2	1	5	5	5	5	5	5	5	5	5	5	1	3	1	1	1	1	2	1	1
2	2	3	3	2	2	3	1	2	3	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	3	1	1
1	2	1	2	3	2	1	1	2	2	5	5	5	5	5	5	5	5	5	5	1	2	1	1	1	1	1	1	1
1	1	1	3	2	2	1	1	2	3	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1
3	4	4	3	3	3	4	3	4	3	3	3	3	3	3	3	3	3	3	2	3	4	3	3	3	3	4	3	3
2	1	2	1	3	3	2	1	2	3	5	5	5	5	5	5	5	5	5	5	2	1	1	3	3	1	2	1	1
2	1	1	3	2	1	3	1	1	1	5	5	5	5	5	5	5	5	5	4	2	1	1	2	2	1	3	1	1
1	1	1	2	2	2	3	2	1	2	4	4	4	4	4	4	4	4	4	5	1	1	2	2	2	2	3	2	2
2	1	2	2	3	2	3	1	2	2	5	5	5	5	5	5	5	5	5	4	2	1	1	3	3	1	3	1	1
4	3	4	3	4	4	3	3	3	4	3	3	3	3	3	3	3	3	3	2	4	3	3	4	4	3	3	3	3
2	1	2	2	3	1	1	2	3	4	4	4	4	4	4	4	4	4	4	4	2	1	2	3	3	2	1	2	2
1	2	1	1	1	1	1	2	2	1	4	4	4	4	4	4	4	4	4	6	1	2	2	1	1	2	1	2	2
1	3	1	2	1	1	1	3	1	4	3	3	3	3	3	3	3	3	3	4	1	3	3	1	1	3	1	3	3
1	2	3	3	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	4	1	2	3	2	2	1	1	1	1
2	3	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	4	2	3	2	1	1	1	1	1	1
1	3	1	2	1	2	1	3	3	1	3	3	3	3	3	3	3	3	3	2	1	3	1	1	1	3	1	3	3
2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	1	2	2	2	1	4	4	4	4	4	4	4	4	4	4	2	1	2	2	2	2	2	2	2
1	2	1	1	2	1	1	1	1	4	2	2	2	2	2	2	2	2	2	4	1	2	1	2	2	1	1	1	1
